Parameter,Value,,,,,,,,,,,,,,,,,,
Number of Stages,3,,,,,,,,,,,,,,,,,,
Stage 1 Pressure (psia),159.65,,,,,,,,,,,,,,,,,,
Stage 2 Pressure (psia),154.65,,,,,,,,,,,,,,,,,,
Stage 3 Pressure (psia),14.75,,,,,,,,,,,,,,,,,,
Process Temperature (F),70,,,,,,,,,,,,,,,,,,
GOR [scf/stb],6529.420351,,,,,,,,,,,,,,,,,,
API gravity - stock tank condensate,60.64357811,,,,,,,,,,,,,,,,,,
%%%ENDOFMETADATA%%%,,,,,,,,,,,,,,,,,,,
MajorEquipment,FluidFlow,Name,DriveFactor,DriveFactorUnits,GCUnits,Carbon Dioxide,Nitrogen,Hydrogen Sulfide,Methane,Ethane,Propane,Isobutane,Butane,Isopentane,Pentane,Hexane,Pseudocomponent 1,Pseudocomponent 2,NITROUS_OXIDE
Tank,Vapor,Well-Water.Stage1-Water.Tank-Flash,2.416988698,scf/bbl,kg/scf,0,0,0,0.013757472,0.005885173,0.002906488,0.002314641,0.000929214,0.000287945,0.000194945,0.001102746,7.65E-05,1.75E-09,NA
Stage1,Vapor,Well-Water.Stage1-Flash,1,bbl/bbl,kg/bbl,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
Stage1,Vapor,Well-Water.Stage1-Flash,0,mol/bbl,mol/mol,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
Stage1,Vapor,Well-Water.Stage1-Flash,0,scf/bbl,kg/scf,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
Tank,Vapor,Well-Water.Stage1-Water.Stage2-Water.Tank-Flash,1,bbl/bbl,kg/bbl,0,0,0,0.031983581,0.014113812,0.006994437,0.005569326,0.002235645,0.00069211,0.000468442,0.002645839,0.000183033,4.14E-09,NA
Tank,Vapor,Well-Water.Stage1-Water.Stage2-Water.Tank-Flash,2.804657241,mol/bbl,mol/mol,0,0,0,0.710956329,0.167352081,0.056550229,0.034166246,0.013715054,0.003420257,0.002314938,0.010946545,0.000578316,5.99E-09,NA
Tank,Vapor,Well-Water.Stage1-Water.Stage2-Water.Tank-Flash,2.346404451,scf/bbl,kg/scf,0,0,0,0.01363089,0.006015081,0.002980917,0.002373558,0.000952796,0.000294966,0.000199642,0.001127614,7.80E-05,1.76E-09,NA
Stage2,Vapor,Well-Water.Stage1-Water.Stage2-Flash,1,bbl/bbl,kg/bbl,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
Stage2,Vapor,Well-Water.Stage1-Water.Stage2-Flash,0,mol/bbl,mol/mol,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
Stage2,Vapor,Well-Water.Stage1-Water.Stage2-Flash,0,scf/bbl,kg/scf,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
Stage1,Water,Well-Water.Stage1-Water,0,kg/bbl,kg/bbl,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
Stage2,Water,Well-Water.Stage1-Water.Stage2-Water,0,kg/bbl,kg/bbl,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
Well,Water,Well-Water,0,kg/bbl,kg/bbl,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
Stage 1,Condensate,Well-Condensate.Stage1-Condensate,0,kg/bbl,kg/bbl,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
Stage 2,Condensate,Well-Condensate.Stage1-Condensate.Stage2-Condensate,0,kg/bbl,kg/bbl,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
Stage 3,Condensate,Well-Condensate.Stage1-Condensate.Stage2-Condensate.Stage3-Condensate,0,kg/bbl,kg/bbl,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
Compressor,Vapor,Default-LeakGc-Electric,1,kg/kg,kg/kJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Compressor,Vapor,Default-LeakGc-4SLB,1,kg/kg,kg/kJ,4.73E-05,1.36E-06,0,6.23E-07,3.05E-08,1.23E-08,1.61E-09,2.04E-09,0,6.58E-10,1.91E-10,0,0,NA
Compressor,Vapor,Default-LeakGc-4SRB,1,kg/kg,kg/kJ,4.73E-05,1.75E-06,0,5.37E-07,4.51E-08,1.80E-08,0,2.33E-10,0,1.12E-09,4.77E-10,0,0,NA
Compressor,Vapor,Default-LeakGc-2SLB,1,kg/kg,kg/kJ,4.73E-05,9.50E-07,0,9.89E-08,3.03E-08,0,0,0,0,0,0,0,0,NA
Compressor,Vapor,Default-LeakGc-Turbine,1,kg/kg,kg/kJ,4.73E-05,0,0,3.70E-09,0,0,0,0,0,0,0,0,0,1.29E-09
Inserted,,,,,,,,,,,,,,,,,,,
Tank,Vapor,Well-Condensate.Stage1-Condensate.Stage2-Condensate.Tank-Flash,0.10341665,scf/bbl,kg/scf,0.000546756,1.44E-06,1.82E-06,0.004906648,0.007650925,0.011825477,0.005665644,0.00777767,0.003843195,0.002668764,0.001892589,0.001253999,1.82E-08,NA
Tank,Vapor,Well-Condensate.Stage1-Condensate.Stage2-Condensate.Tank-Flash,1,bbl/bbl,kg/bbl,5.65E-05,1.49E-07,1.88E-07,0.000507429,0.000791233,0.001222951,0.000585922,0.000804341,0.00039745,0.000275995,0.000195725,0.000129684,1.89E-09,NA
Tank,Vapor,Well-Condensate.Stage1-Condensate.Stage2-Condensate.Tank-Flash,0.123613922,mol/bbl,mol/mol,0.010393578,4.31E-05,4.46E-05,0.255919658,0.21286467,0.22433817,0.081554277,0.111955901,0.044563485,0.030945461,0.018372696,0.009296829,6.19E-08,NA
Tank,Condensate,Well-Condensate.Tank-Flash,0.10341665,scf/bbl,kg/scf,0.00045293,1.54E-05,8.15E-07,0.012909111,0.003980651,0.00274686,0.001074714,0.001505433,0.001024542,0.000841711,0.001465846,0.009406413,0.003532666,NA
Tank,Condensate,Well-Condensate.Tank-Flash,0.10341665,scf/bbl,kg/scf,0.00045293,1.54E-05,8.15E-07,0.012909111,0.003980651,0.00274686,0.001074714,0.001505433,0.001024542,0.000841711,0.001465846,0.009406413,0.003532666,NA
Tank,Condensate,Well-Condensate.Tank-Flash,0.10341665,kg/bbl,kg/bbl,0.00045293,1.54E-05,8.15E-07,0.012909111,0.003980651,0.00274686,0.001074714,0.001505433,0.001024542,0.000841711,0.001465846,0.009406413,0.003532666,NA
Tank,Condensate,Well-Condensate.Tank-Flash,0.10341665,kg/bbl,kg/scf,0.00045293,1.54E-05,8.15E-07,0.012909111,0.003980651,0.00274686,0.001074714,0.001505433,0.001024542,0.000841711,0.001465846,0.009406413,0.003532666,NA
Tank,Vapor,Well-Condensate.Tank-Flash,0.10341665,kg/bbl,kg/bbl,0.00045293,1.54E-05,8.15E-07,0.012909111,0.003980651,0.00274686,0.001074714,0.001505433,0.001024542,0.000841711,0.001465846,0.009406413,0.003532666,NA
Tank,Vapor,Well-Condensate.Tank-Flash,0.10341665,kg/bbl,kg/scf,0.00045293,1.54E-05,8.15E-07,0.012909111,0.003980651,0.00274686,0.001074714,0.001505433,0.001024542,0.000841711,0.001465846,0.009406413,0.003532666,NA
Facility,Vapor,Well-Vapor,6505.534401,scf/bbl,kg/scf,0.000512835,1.75E-05,9.15E-07,0.014654265,0.004484378,0.0029134,0.00097092,0.001210882,0.000525589,0.000357631,0.000248525,0.000173406,3.69E-09,NA
,,,,,,,,,,,,,,,,,,,
Flare,Vapor,Test-LeakGc,0,kg/bbl,kg/scf,0,0.00E+00,0.00E+00,1,2,0,0,0,0,0,0,0,0,NA
Tank,Vapor,Well-Condensate.Stage1-Condensate.Tank-Flash,2.507882583,scf/bbl,kg/scf,0.000522141,1.62E-05,9.13E-07,0.014819347,0.004503446,0.002740733,0.000864156,0.00105741,0.000445258,0.000301365,0.000208042,0.000146649,3.32E-09,NA
Stage2,Vapor,Well-Condensate.Stage1-Condensate.Tank-Flash,1,bbl/bbl,kg/bbl,0.001309469,4.06E-05,2.29E-06,0.037165182,0.011294113,0.006873438,0.002167202,0.00265186,0.001116655,0.000755787,0.000521744,0.000367779,8.32E-09,NA
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Dehy,Vapor,Well-Vapor.DehyContactor-Flash,1,scf/scf,kg/scf,0.000512325,1.75E-05,9.10E-07,0.014656485,0.004483849,0.002912088,0.000970272,0.001209491,0.000524624,0.000356814,0.000247485,0.00017194,7.23E-09,
Dehy,Vapor,Well-Vapor.DehyFlashTank-Flash,1,scf/scf,kg/scf,0.00179649,3.10E-06,4.35E-06,0.009994896,0.00811092,0.007251235,0.002609001,0.003735056,0.001677294,0.001194132,0.00081398,0.000600916,2.44E-08,
Dehy,Vapor,Well-Vapor.DehyStillVent-Flash,1,scf/scf,kg/scf,0.003284922,1.23E-07,3.90E-05,0.001638839,0.005023892,0.008996954,0.004486411,0.009768715,0.007068326,0.006036396,0.0079915,0.011470128,1.17E-06,
,,,,,,,,,,,,,,,,,,,
Dehy,Vapor,Well-Condensate.Stage1-Condensate.Stage2-Flash.DehyContactor-Flash,1,scf/scf,kg/scf,0.000512325,1.75E-05,9.10E-07,0.014656485,0.004483849,0.002912088,0.000970272,0.001209491,0.000524624,0.000356814,0.000247485,0.00017194,7.23E-09,
Dehy,Vapor,Well-Condensate.Stage1-Condensate.Stage2-Flash.DehyFlashTank-Flash,1,scf/scf,kg/scf,0.00179649,3.10E-06,4.35E-06,0.009994896,0.00811092,0.007251235,0.002609001,0.003735056,0.001677294,0.001194132,0.00081398,0.000600916,2.44E-08,
Dehy,Vapor,Well-Condensate.Stage1-Condensate.Stage2-Flash.DehyStillVent-Flash,1,scf/scf,kg/scf,0.003284922,1.23E-07,3.90E-05,0.001638839,0.005023892,0.008996954,0.004486411,0.009768715,0.007068326,0.006036396,0.0079915,0.011470128,1.17E-06,
<<<<<<< HEAD
,,,,,,,,,,,,,,,,,,,
