Parameter,Value,,,,,,,,,,,,,,,,,,,,,
Number of Stages,3,,,,,,,,,,,,,,,,,,,,,
Stage 1 Pressure (psia),118.65,,,,,,,,,,,,,,,,,,,,,
Stage 2 Pressure (psia),39.65,,,,,,,,,,,,,,,,,,,,,
Stage 3 Pressure (psia),16.79,,,,,,,,,,,,,,,,,,,,,
Process Temperature (F),100,,,,,,,,,,,,,,,,,,,,,
GOR [scf/stb],43446.57265,,,,,,,,,,,,,,,,,,,,,
API gravity - stock tank condensate,56.15608621,,,,,,,,,,,,,,,,,,,,,
%%%ENDOFMETADATA%%%,,,,,,,,,,,,,,,,,,,,,,
MajorEquipment,FluidFlow,Name,DriveFactor,DriveFactorUnits,GCUnits,Carbon Dioxide,Nitrogen,Hydrogen Sulfide,Methane,Ethane,Propane,Isobutane,Butane,Isopentane,Pentane,Hexane,Pseudocomponent 1,Pseudocomponent 2,DeltaH - Stage 1 Pressure to Pipeline Pressure (kJ/scf),DeltaH - Stage 2 Pressure to Pipeline Pressure (kJ/scf),DeltaH - Stage 3 Pressure to Pipeline Pressure (kJ/scf),LHV (kJ/scf)
Stage1,Vapor,Well-Water.Stage1-Flash,1,bbl/bbl,kg/bbl,0,0,0,0,0,0,0,0,0,0,0,0,0,41.56,22.95,38.33,
Stage1,Vapor,Well-Water.Stage1-Flash,0,mol/bbl,mol/mol,0,0,0,0,0,0,0,0,0,0,0,0,0,41.56,22.95,38.33,
Stage1,Vapor,Well-Water.Stage1-Flash,0,scf/bbl,kg/scf,0,0,0,0,0,0,0,0,0,0,0,0,0,41.56,22.95,38.33,
Tank,Vapor,Well-Water.Stage1-Water.Stage2-Water.Tank-Flash,1,bbl/bbl,kg/bbl,0,0,0,0.003794016,0.004008139,0.002953217,0.001072848,0.001119175,0.000223042,0.000208325,0.000756594,0.000255653,3.98E-08,41.56,22.95,38.33,
Tank,Vapor,Well-Water.Stage1-Water.Stage2-Water.Tank-Flash,0.49161247,mol/bbl,mol/mol,0,0,0,0.48114054,0.271135523,0.136217785,0.037548252,0.039169629,0.006288207,0.005873296,0.01785802,0.004768385,3.63E-07,41.56,22.95,38.33,
Tank,Vapor,Well-Water.Stage1-Water.Stage2-Water.Tank-Flash,0.411287936,scf/bbl,kg/scf,0,0,0,0.009224721,0.009745335,0.007180411,0.002608508,0.002721147,0.000542301,0.000506518,0.001839572,0.000621591,9.69E-08,41.56,22.95,38.33,
Stage2,Vapor,Well-Water.Stage1-Water.Stage2-Flash,1,bbl/bbl,kg/bbl,0,0,0,0,0,0,0,0,0,0,0,0,0,41.56,22.95,38.33,
Stage2,Vapor,Well-Water.Stage1-Water.Stage2-Flash,0,mol/bbl,mol/mol,0,0,0,0,0,0,0,0,0,0,0,0,0,41.56,22.95,38.33,
Stage2,Vapor,Well-Water.Stage1-Water.Stage2-Flash,0,scf/bbl,kg/scf,0,0,0,0,0,0,0,0,0,0,0,0,0,41.56,22.95,38.33,
Well,Vapor,Well-Vapor,43221.74308,scf/bbl,kg/scf,0.00102137,0.001935825,6.23E-06,0.013487617,0.004257709,0.003022966,0.000566179,0.001301934,0.000352598,0.000328708,0.000384247,0.000623448,1.15E-07,22.95,22.95,38.33,
,,,,,,,,,,,,,,,,,,,,,,
Well,Vapor,Well-Vapor,0,scf/bbl,kg/scf,0,0,0,1,0,0,0,0,0,0,0,0,0,23.56640132,22.95,,
Well,Vapor,Test-LeakGc,0,scf/bbl,kg/scf,0,0,0,2,0,0,0,0,0,0,0,0,0,23.56640132,22.95,,
Well,Vapor,TestWell-Vapor,0,scf/bbl,kg/scf,0,0,0,1,0,0,0,0,0,0,0,0,0,23.56640132,22.95,,
Well,Vapor,TestWell2-Vapor,0,scf/bbl,kg/scf,0,0,0,1,2,0,0,0,0,0,0,0,0,23.56640132,22.95,,
