Parameter,Value,,,,,,,,,,,,,,,,,
Number of Stages,3,,,,,,,,,,,,,,,,,
Stage 1 Pressure (psia),159.65,,,,,,,,,,,,,,,,,
Stage 2 Pressure (psia),154.65,,,,,,,,,,,,,,,,,
Stage 3 Pressure (psia),29.65,,,,,,,,,,,,,,,,,
Process Temperature (F),70,,,,,,,,,,,,,,,,,
GOR [scf/stb],994.8684775,,,,,,,,,,,,,,,,,
API gravity - stock tank condensate,49.86272812,,,,,,,,,,,,,,,,,
%%%ENDOFMETADATA%%%,,,,,,,,,,,,,,,,,,
MajorEquipment,FluidFlow,Name,DriveFactor,DriveFactorUnits,GCUnits,Carbon Dioxide,Nitrogen,Hydrogen Sulfide,Methane,Ethane,Propane,Isobutane,Butane,Isopentane,Pentane,Hexane,Pseudocomponent 1,Pseudocomponent 2
Tank,Vapor,Well-Water.Stage1-Water.Stage2-Water.Tank-Flash,2.737028451,mol/bbl,mol/mol,0,0,0,0.743749238,0.129621057,0.07851721,0.014695655,0.016127436,0.002330708,0.001836927,0.013050897,7.09E-05,9.16E-13
Tank,Vapor,Well-Water.Stage1-Water.Stage2-Water.Tank-Flash,2.289825526,scf/bbl,kg/scf,0,0,0,0.014259616,0.004658927,0.004138856,0.001020919,0.001120386,0.000201002,0.000158418,0.001344385,1.18E-05,4.11E-13
Stage2,Vapor,Well-Water.Stage1-Water.Stage2-Flash,1,bbl/bbl,kg/bbl,0,0,0,0,0,0,0,0,0,0,0,0,0
Stage2,Vapor,Well-Water.Stage1-Water.Stage2-Flash,0,mol/bbl,mol/mol,0,0,0,0,0,0,0,0,0,0,0,0,0
Stage2,Vapor,Well-Water.Stage1-Water.Stage2-Flash,0,scf/bbl,kg/scf,0,0,0,0,0,0,0,0,0,0,0,0,0
Tank,Vapor,Well-Water.Stage1-Water.Stage2-Water.Stage3-Flash,1,bbl/bbl,kg/bbl,0,0,0,0.032652032,0.01066813,0.009477259,0.002337727,0.00256549,0.00046026,0.00036275,0.003078408,2.70E-05,9.42E-13
Tank,Vapor,Well-Water.Stage1-Water.Stage2-Water.Stage3-Flash,2.737028451,mol/bbl,mol/mol,0,0,0,0.743749238,0.129621057,0.07851721,0.014695655,0.016127436,0.002330708,0.001836927,0.013050897,7.09E-05,9.16E-13
Tank,Vapor,Well-Water.Stage1-Water.Stage2-Water.Stage3-Flash,2.289825526,scf/bbl,kg/scf,0,0,0,0.014259616,0.004658927,0.004138856,0.001020919,0.001120386,0.000201002,0.000158418,0.001344385,1.18E-05,4.11E-13
Tank,Vapor,Well-Water.Stage1-Water.Stage2-Water.Stage3-Water.Tank-Flash,1,bbl/bbl,kg/bbl,0,0,0,0.032652032,0.01066813,0.009477259,0.002337727,0.00256549,0.00046026,0.00036275,0.003078408,2.70E-05,9.42E-13
Tank,Vapor,Well-Water.Stage1-Water.Stage2-Water.Stage3-Water.Tank-Flash,2.737028451,mol/bbl,mol/mol,0,0,0,0.743749238,0.129621057,0.07851721,0.014695655,0.016127436,0.002330708,0.001836927,0.013050897,7.09E-05,9.16E-13
Tank,Vapor,Well-Water.Stage1-Water.Stage2-Water.Stage3-Water.Tank-Flash,2.289825526,scf/bbl,kg/scf,0,0,0,0.014259616,0.004658927,0.004138856,0.001020919,0.001120386,0.000201002,0.000158418,0.001344385,1.18E-05,4.11E-13
,,,,,,,,,,,,,,,,,,
Stage1,Vapor,Well-Vapor,1,bbl/bbl,kg/bbl,0.435505484,0.154620702,5.06E-10,13.27869453,2.8996679,3.152671556,0.307989353,1.030346809,0.251675002,0.198405525,0.206098506,0.01850488,6.64E-10
Stage1,Vapor,Well-Vapor,872.5592224,scf/bbl,kg/scf,0.000499113,0.000177204,5.80E-13,0.015218101,0.003323176,0.003613132,0.000352972,0.001180833,0.000288433,0.000227383,0.0002362,2.12E-05,7.61E-13
Stage1,Vapor,Well-Vapor,1042.970039,mol/bbl,mol/mol,0.009487907,0.005294656,1.42E-11,0.793741676,0.092457682,0.06854382,0.005080872,0.016997537,0.003344505,0.002636608,0.00229296,0.000127607,1.69E-12
