Distribution Type,Histogram
Distribution Type,Histogram
Use,EMISSIONS
Units,kg_methane
Emission Factor Type,Leaker
Gas Type,methane
Emission Unit,kg
Time Basis,s
Activity Basis,One per Dehydrator
User Units,scfs (wholegas)
Source,doi: 10.1021/acs.est.0c00516 File: DataTable.xlsx Sheet: D2 GHGRP Large Dehy
Component,Dehydrator Still Vent
Notes,Includes only data for dehys with no vent gas recovery or flaring
Mean of Leaking,0.0010303
Activity Count,1481
Survey Frequency,Annual (estimated)
%%%ENDOFMETADATA%%%,
EmissionRate,Probability
0.0001,0.635381498987171
0.0003,0.0945307224848076
0.0005,0.0398379473328832
0.0007,0.0236326806212019
0.0009,0.0222822417285618
0.0011,0.0168804861580014
0.0013,0.0101282916948008
0.0015,0.00472653612424038
0.0017,0.012829169480081
0.0019,0.00810263335584065
0.0021,0.0155300472653612
0.0023,0.0087778528021607
0.0025,0.0087778528021607
0.0027,0.00472653612424038
0.0029,0.00675219446320054
0.0031,0.00675219446320054
0.0035,0.00270087778528022
0.0037,0.00135043889264011
0.0039,0.000675219446320054
0.0041,0.00472653612424038
0.0043,0.00810263335584065
0.0045,0.00405131667792032
0.0047,0.00135043889264011
0.0049,0.00742741390952059
0.0051,0.00135043889264011
0.0053,0.000675219446320054
0.0055,0.00135043889264011
0.0057,0.00135043889264011
0.0059,0.00135043889264011
0.0061,0.00337609723160027
0.0063,0.00270087778528022
0.0067,0.00135043889264011
0.0069,0.00337609723160027
0.0071,0.00337609723160027
0.0073,0.00135043889264011
0.0075,0.00135043889264011
0.0077,0.000675219446320054
0.0079,0.000675219446320054
0.0081,0.000675219446320054
0.0083,0.000675219446320054
0.0089,0.00202565833896016
0.0091,0.00135043889264011
0.0095,0.000675219446320054
0.0097,0.00202565833896016
0.0099,0.000675219446320054
0.0105,0.000675219446320054
0.0107,0.000675219446320054
0.0113,0.000675219446320054
0.0119,0.00270087778528022
0.0123,0.000675219446320054
0.0129,0.00135043889264011
0.0131,0.00135043889264011
0.0135,0.000675219446320054
0.0139,0.000675219446320054
0.0161,0.000675219446320054
0.0171,0.000675219446320054
0.0173,0.00135043889264011
0.0201,0.000675219446320054
0.0243,0.00135043889264011
0.0277,0.000675219446320054
0.0313,0.000675219446320054
0.0335,0.000675219446320054
0.0573,0.00135043889264011
