Distribution Type,Histogram
Use,EMISSIONS
Units,scf_wholegas
Gas Type,whole_gas
Emission Unit,scf
Time Basis,s
%%%ENDOFMETADATA%%%,
EmissionRate,Probability
3.2869446728541894e-07,0.362463
9.860834018562567e-07,0.0305625
1.6434723364270946e-06,0.0129125
2.300861270997932e-06,0.0137375
2.95825020556877e-06,0.0071375
3.6156391401396082e-06,0.00545
4.273028074710445e-06,0.0045375
4.930417009281283e-06,0.006175
5.587805943852121e-06,0.0038625
6.245194878422959e-06,0.0056625
6.9025838129937966e-06,0.0040625
7.559972747564635e-06,0.003475
8.217361682135474e-06,0.0065125
8.87475061670631e-06,0.00545
9.532139551277148e-06,0.004925
1.0189528485847986e-05,0.0049
1.0846917420418824e-05,0.0052375
1.150430635498966e-05,0.0057625
1.21616952895605e-05,0.0031
1.2819084224131337e-05,0.0050625
1.3476473158702173e-05,0.0036875
1.4133862093273013e-05,0.0061875
1.479125102784385e-05,0.0040625
1.5448639962414688e-05,0.0056875
1.6106028896985524e-05,0.0036375
1.6763417831556367e-05,0.0065375
1.74208067661272e-05,0.002975
1.807819570069804e-05,0.00565
1.8735584635268876e-05,0.0049875
1.9392973569839716e-05,0.0034125
2.0050362504410552e-05,0.0057125
2.0707751438981392e-05,0.0035375
2.136514037355223e-05,0.0037375
2.2022529308123065e-05,0.00635
2.26799182426939e-05,0.003325
2.333730717726474e-05,0.0020125
2.399469611183558e-05,0.0049875
2.465208504640642e-05,0.0031625
2.5309473980977254e-05,0.0029875
2.5966862915548094e-05,0.0038625
2.6624251850118927e-05,0.00415
2.7281640784689766e-05,0.003625
2.7939029719260606e-05,0.0031125
2.8596418653831446e-05,0.0036
2.9253807588402282e-05,0.0040625
2.991119652297312e-05,0.0029625
3.056858545754396e-05,0.0030125
3.122597439211479e-05,0.001775
3.188336332668563e-05,0.0028
3.254075226125647e-05,0.0038125
3.319814119582731e-05,0.0031125
3.385553013039815e-05,0.0040125
3.4512919064968984e-05,0.0040625
3.5170307999539824e-05,0.0031
3.582769693411066e-05,0.002925
3.6485085868681496e-05,0.0019125
3.7142474803252336e-05,0.0031875
3.7799863737823176e-05,0.003025
3.8457252672394016e-05,0.0022625
3.911464160696485e-05,0.001425
3.977203054153568e-05,0.003125
4.042941947610652e-05,0.0016375
4.108680841067736e-05,0.0024375
4.17441973452482e-05,0.00265
4.240158627981903e-05,0.0024625
4.305897521438987e-05,0.0022375
4.371636414896072e-05,0.0022
4.437375308353156e-05,0.0023625
4.5031142018102386e-05,0.0029625
4.5688530952673226e-05,0.0024875
4.6345919887244066e-05,0.0015375
4.7003308821814906e-05,0.002025
4.766069775638574e-05,0.0024875
4.831808669095657e-05,0.001875
4.897547562552741e-05,0.00135
4.963286456009825e-05,0.003025
5.0290253494669084e-05,0.0013875
5.0947642429239924e-05,0.0019875
5.1605031363810764e-05,0.00205
5.2262420298381604e-05,0.0024375
5.291980923295245e-05,0.001375
5.357719816752328e-05,0.0031625
5.4234587102094116e-05,0.001225
5.4891976036664956e-05,0.001175
5.5549364971235796e-05,0.0021
5.620675390580663e-05,0.0013375
5.686414284037747e-05,0.001775
5.752153177494831e-05,0.0022625
5.817892070951915e-05,0.001725
5.8836309644089974e-05,0.001425
5.9493698578660814e-05,0.0014875
6.0151087513231654e-05,0.002625
6.0808476447802494e-05,0.00155
6.146586538237334e-05,0.0020375
6.212325431694417e-05,0.0015875
6.2780643251515e-05,0.0015
6.343803218608585e-05,0.0013875
6.409542112065669e-05,0.0019375
6.475281005522752e-05,0.001275
6.541019898979837e-05,0.0021375
6.60675879243692e-05,0.0021375
6.672497685894005e-05,0.0011125
6.738236579351088e-05,0.001575
6.803975472808171e-05,0.00125
6.869714366265254e-05,0.001325
6.935453259722339e-05,0.0022625
7.001192153179422e-05,0.0012875
7.066931046636507e-05,0.0013
7.13266994009359e-05,0.00185
7.198408833550675e-05,0.00175
7.264147727007758e-05,0.0014875
7.329886620464842e-05,0.0012875
7.395625513921925e-05,0.00145
7.461364407379008e-05,0.0012875
7.527103300836093e-05,0.001775
7.592842194293176e-05,0.00125
7.65858108775026e-05,0.00155
7.724319981207344e-05,0.00145
7.790058874664427e-05,0.0011625
7.855797768121512e-05,0.0006625
7.921536661578594e-05,0.0014625
7.987275555035679e-05,0.001175
8.053014448492762e-05,0.000925
8.118753341949847e-05,0.0017
8.18449223540693e-05,0.0011125
8.250231128864015e-05,0.000875
8.315970022321098e-05,0.0014375
8.381708915778183e-05,0.0008875
8.447447809235266e-05,0.0012
8.513186702692349e-05,0.0015
8.578925596149434e-05,0.000975
8.644664489606516e-05,0.0007875
8.710403383063602e-05,0.0012125
8.776142276520684e-05,0.0011125
8.841881169977768e-05,0.001225
8.907620063434852e-05,0.001075
8.973358956891935e-05,0.0008125
9.03909785034902e-05,0.0007625
9.104836743806103e-05,0.0011375
9.170575637263188e-05,0.0005625
9.236314530720271e-05,0.0011125
