MajorEquipment,emitterModelFactorTag,factorTag,Emitter,activityDistribution,emissionDriver,notes,correctFactors,Unnamed: 8
ContinuousWells,Well_state_based_emitter,wellpad,StateBasedEmitterProduction,,Production/WellCompletions/Allen2013/EmissionRates.csv,allen+other studies,yes,
ContinuousWells,Well_component_leak,wellpad,LeakProduction,,Production/Wellhead/ComponentLeaks/EmissionFactor_Wellheads_AllStudies.csv,allen+other studies,yes,
ContinuousWells,Well_pneumatic,wellpad,PneumaticEmitterProduction,Common/Allen/Rocky Mountain/Allen_RM_WELLH_ANY_AF.csv,Common/Allen/Rocky Mountain/Allen_RM_WELLH_ANY_EF.csv,allen ,yes,
ContinuousWells,Well_state_based_emitter,C3,StateBasedEmitterProduction,,Production/WellCompletions/Allen2013/EmissionRates.csv,allen ,yes,
ContinuousWells,Well_component_leak,C3,LeakProduction,,Production/Wellhead/ComponentLeaks/EmissionFactor_Wellheads_AllStudies.csv,allen+other studies,yes,
ContinuousWells,Well_pneumatic,C3,PneumaticEmitterProduction,Common/Allen/Rocky Mountain/Allen_RM_WELLH_ANY_AF.csv,Common/Allen/Rocky Mountain/Allen_RM_WELLH_ANY_EF.csv,allen ,yes,
ContinuousWells,Well_state_based_emitter,appalachian,StateBasedEmitterProduction,,Production/WellCompletions/Allen2013/EmissionRates.csv,allen ,yes,
ContinuousWells,Well_component_leak,appalachian,LeakProduction,,Production/Wellhead/ComponentLeaks/EmissionFactor_Wellheads_AllStudies.csv,allen ,yes,
ContinuousWells,Well_pneumatic,appalachian,PneumaticEmitterProduction,Common/Allen/Appalachian/Allen_AP_WELLH_CONT_AF.csv,Common/Allen/Appalachian/Allen_AP_WELLH_ANY_EF.csv,allen ,yes,
ContinuousWells,Well_state_based_emitter,mid-continent,StateBasedEmitterProduction,,Production/WellCompletions/Allen2013/EmissionRates.csv,allen+other studies,yes,
ContinuousWells,Well_component_leak,mid-continent,LeakProduction,,Production/Wellhead/ComponentLeaks/EmissionFactor_Wellheads_AllStudies.csv,allen+other studies,yes,
ContinuousWells,Well_pneumatic,mid-continent,PneumaticEmitterProduction,Common/Allen/Mid Continent/Allen_MC_COMPR_ANY_AF.csv,Common/Allen/Mid Continent/Allen_MC_ALLPNM_EF.csv,allen ,yes,
,,,,,,,,
CyclingWells,Cyc_Well_state_based_emitter,wellpad,StateBasedEmitterProduction,,Production/WellCompletions/Allen2013/EmissionRates.csv,allen+other studies,yes,
CyclingWells,Cyc_Well_component_leak,wellpad,LeakProduction,,Production/Wellhead/ComponentLeaks/EmissionFactor_Wellheads_AllStudies.csv,allen+other studies,yes,
CyclingWells,Cyc_Well_pneumatic,wellpad,PneumaticEmitterProduction,Common/Allen/Rocky Mountain/Allen_RM_WELLH_ANY_AF.csv,Common/Allen/Rocky Mountain/Allen_RM_WELLH_ANY_EF.csv,allen ,yes,
CyclingWells,Cyc_Well_state_based_emitter,C3,StateBasedEmitterProduction,,Production/WellCompletions/Allen2013/EmissionRates.csv,allen ,yes,
CyclingWells,Cyc_Well_component_leak,C3,LeakProduction,,Production/Wellhead/ComponentLeaks/EmissionFactor_Wellheads_AllStudies.csv,allen+other studies,yes,
CyclingWells,Cyc_Well_pneumatic,C3,PneumaticEmitterProduction,Common/Allen/Rocky Mountain/Allen_RM_WELLH_ANY_AF.csv,Common/Allen/Rocky Mountain/Allen_RM_WELLH_ANY_EF.csv,allen ,yes,
CyclingWells,Cyc_Well_state_based_emitter,appalachian,StateBasedEmitterProduction,,Production/WellCompletions/Allen2013/EmissionRates.csv,allen ,yes,
CyclingWells,Cyc_Well_component_leak,appalachian,LeakProduction,,Production/Wellhead/ComponentLeaks/EmissionFactor_Wellheads_AllStudies.csv,allen ,yes,
CyclingWells,Cyc_Well_pneumatic,appalachian,PneumaticEmitterProduction,Common/Allen/Appalachian/Allen_AP_WELLH_CONT_AF.csv,Common/Allen/Appalachian/Allen_AP_WELLH_ANY_EF.csv,allen ,yes,
CyclingWells,Cyc_Well_state_based_emitter,mid-continent,StateBasedEmitterProduction,,Production/WellCompletions/Allen2013/EmissionRates.csv,allen+other studies,yes,
CyclingWells,Cyc_Well_component_leak,mid-continent,LeakProduction,,Production/Wellhead/ComponentLeaks/EmissionFactor_Wellheads_AllStudies.csv,allen+other studies,yes,
CyclingWells,Cyc_Well_pneumatic,mid-continent,PneumaticEmitterProduction,Common/Allen/Mid Continent/Allen_MC_COMPR_ANY_AF.csv,Common/Allen/Mid Continent/Allen_MC_ALLPNM_EF.csv,allen ,yes,
,,,,,,,,
Separators,Dump_Sep_component_leak,gef_sep,LeakProduction,,Midstream/GEFCombinedMidstream/EmissionsData/GEFC_EF_Separator Component.csv,gef,yes,
Separators,Dump_Sep_pneumatic,gef_sep,PneumaticEmitterProduction,Common/Allen/Rocky Mountain/Allen_RM_WELLH_ANY_AF.csv,Midstream/GEFCombinedMidstream/EmissionsData/GEFC_EF_Pneumatic Any.csv,gef,yes,
Separators,Sep_component_leak,gef_sep,LeakProduction,,Midstream/GEFCombinedMidstream/EmissionsData/GEFC_EF_Separator Component.csv,gef,yes,
Separators,Sep_pneumatic,gef_sep,PneumaticEmitterProduction,Midstream/GEFCombinedMidstream/ActivityData/GEFC_AF_Separator Pneumatic Controller.csv,Midstream/GEFCombinedMidstream/EmissionsData/GEFC_EF_Pneumatic Any.csv,gef,yes,
Separators,Sep_component_leak,wellpad_sep,LeakProduction,,Production/Wellhead/ComponentLeaks/EmissionFactor_Wellheads_AllStudies.csv,allen+other studies,no,
Separators,Sep_pneumatic,wellpad_sep,PneumaticEmitterProduction,Common/Allen/Rocky Mountain/Allen_RM_WELLH_ANY_AF.csv,Common/Allen/Rocky Mountain/Allen_RM_SEP_ANY_EF.csv,allen ,no,
Separators,Sep_component_leak,C3,LeakProduction,,Production/Wellhead/ComponentLeaks/EmissionFactor_Wellheads_AllStudies.csv,allen+other studies,no,
Separators,Sep_pneumatic,C3,PneumaticEmitterProduction,Common/Allen/Rocky Mountain/Allen_RM_SEP_ANY_AF.csv,Common/Allen/Rocky Mountain/Allen_RM_SEP_ANY_EF.csv,allen ,no,
Separators,Dump_Sep_component_leak,wellpad_sep,LeakProduction,,Production/Wellhead/ComponentLeaks/EmissionFactor_Wellheads_AllStudies.csv,allen+other studies,no,
Separators,Dump_Sep_pneumatic,wellpad_sep,PneumaticEmitterProduction,Common/Allen/Rocky Mountain/Allen_RM_WELLH_ANY_AF.csv,Common/Allen/Rocky Mountain/Allen_RM_SEP_ANY_EF.csv,allen ,no,
Separators,Sep_component_leak,ts_sep,LeakProduction,,Midstream/GEFCombinedMidstream/EmissionsData/GEFC_EF_Separator Component.csv,gef,no,
Separators,Sep_pneumatic,ts_sep,PneumaticEmitterProduction,Midstream/GEFCombinedMidstream/ActivityData/GEFC_AF_Separator Pneumatic Controller.csv,Midstream/TS/EmissionsData/TS_EF_Pneumatics All.csv,ts,yes,
Separators,Dump_Sep_component_leak,ts_sep,LeakProduction,,Midstream/GEFCombinedMidstream/EmissionsData/GEFC_EF_Separator Component.csv,gef,no,
Separators,Dump_Sep_pneumatic,ts_sep,PneumaticEmitterProduction,Midstream/GEFCombinedMidstream/ActivityData/GEFC_AF_Separator Pneumatic Controller.csv,Midstream/TS/EmissionsData/TS_EF_Pneumatics All.csv,ts,yes,
Separators,Sep_component_leak,appalachian,LeakProduction,,Production/Wellhead/ComponentLeaks/EmissionFactor_Wellheads_AllStudies.csv,allen ,no,
Separators,Sep_pneumatic,appalachian,PneumaticEmitterProduction,Common/Allen/Appalachian/Allen_AP_SEP_ANY_AF.csv,Common/Allen/Appalachian/Allen_AP_SEP_ANY_EF.csv,allen ,no,
Separators,Sep_component_leak,mid-continent,LeakProduction,,Production/Wellhead/ComponentLeaks/EmissionFactor_Wellheads_AllStudies.csv,allen+other studies,no,
Separators,Sep_pneumatic,mid-continent,PneumaticEmitterProduction,Common/Allen/Mid Continent/Allen_MC_SEP_CONT_AF.csv,Common/Allen/Mid Continent/Allen_MC_SEP_ANY_EF.csv,allen ,no,
,,,,,,,,
TankBattery,Tank_thief_hatch_leak,gef_tank,SpecificLeaksProduction,1,Midstream/GEFCombinedMidstream/EmissionsData/GEFC_EF_Tank Thief Hatch.csv,gef,yes,
TankBattery,Tank_component_leak,gef_tank,LeakProduction,20,Midstream/GEFCombinedMidstream/EmissionsData/GEFC_EF_Compressor Component.csv,gef,yes,Confirm EF
TankBattery,Tank_thief_hatch_large,gef_tank,SpecificLeaksProduction,1,Midstream/GEFCombinedMidstream/EmissionsData/GEFC_EF_Tank Thief Hatch Large Emitter.csv,gef,yes,
TankBattery,Tank_battery_vent_leak,gef_tank,SpecificLeaksProduction,1,Midstream/GEFCombinedMidstream/EmissionsData/GEFC_EF_Tank Common Multi-Unit Vent.csv,gef,yes,
TankBattery,Tank_battery_vent_large,gef_tank,SpecificLeaksProduction,1,Midstream/GEFCombinedMidstream/EmissionsData/GEFC_EF_Tank Multi-Unit Vent Large Emitter.csv,gef,yes,
TankBattery,Tank_pneumatic,gef_tank,PneumaticEmitterProduction,Midstream/GEFCombinedMidstream/ActivityData/GEFC_AF_Tank Pneumatic Controller.csv,Midstream/GEFCombinedMidstream/EmissionsData/GEFC_EF_Pneumatic Any.csv,gef,yes,
TankBattery,Tank_thief_hatch_leak,ts_tanks,SpecificLeaksProduction,1,Midstream/GEFCombinedMidstream/EmissionsData/GEFC_EF_Tank Thief Hatch.csv,gef,no,
TankBattery,Tank_component_leak,ts_tanks,LeakProduction,20,Midstream/GEFCombinedMidstream/EmissionsData/GEFC_EF_Compressor Component.csv,gef,no,Confirm EF
TankBattery,Tank_thief_hatch_large,ts_tanks,SpecificLeaksProduction,1,Midstream/GEFCombinedMidstream/EmissionsData/GEFC_EF_Tank Thief Hatch Large Emitter.csv,gef,no,
TankBattery,Tank_battery_vent_leak,ts_tanks,SpecificLeaksProduction,1,Midstream/TS/EmissionsData/TS_EF_Tank TankVent.csv,ts,yes,
TankBattery,Tank_battery_vent_large,ts_tanks,SpecificLeaksProduction,1,Midstream/GEFCombinedMidstream/EmissionsData/GEFC_EF_Tank Multi-Unit Vent Large Emitter.csv,gef,no,
TankBattery,Tank_pneumatic,ts_tanks,PneumaticEmitterProduction,Midstream/GEFCombinedMidstream/ActivityData/GEFC_AF_Tank Pneumatic Controller.csv,Midstream/TS/EmissionsData/TS_EF_Pneumatic Any.csv,ts,yes,
TankBattery,Tank_thief_hatch_leak,wellpad_tanks,SpecificLeaksProduction,1,Midstream/GEFCombinedMidstream/EmissionsData/GEFC_EF_Tank Thief Hatch.csv,gef study,no,
TankBattery,Tank_component_leak,wellpad_tanks,LeakProduction,20,Midstream/GEFCombinedMidstream/EmissionsData/GEFC_EF_Compressor Component.csv,gef study,no,
TankBattery,Tank_thief_hatch_large,wellpad_tanks,SpecificLeaksProduction,1,Midstream/GEFCombinedMidstream/EmissionsData/GEFC_EF_Tank Thief Hatch Large Emitter.csv,gef study,no,
TankBattery,Tank_battery_vent_leak,wellpad_tanks,SpecificLeaksProduction,1,Midstream/GEFCombinedMidstream/EmissionsData/GEFC_EF_Tank Common Multi-Unit Vent.csv,gef study,no,
TankBattery,Tank_battery_vent_large,wellpad_tanks,SpecificLeaksProduction,1,Midstream/GEFCombinedMidstream/EmissionsData/GEFC_EF_Tank Multi-Unit Vent Large Emitter.csv,gef study,no,
TankBattery,Tank_pneumatic,wellpad_tanks,PneumaticEmitterProduction,Production/Wellhead/Pneumatics/Allen_RM_PC_AF.csv,Common/Allen/Appalachian/Allen_AP_ALLPNM_EF.csv,Allen,no,
,,,,,,,,
Flares,Flare_component_leak,gef_flare,LeakProduction,20,Midstream/GEFCombinedMidstream/EmissionsData/GEFC_EF_Separator Component.csv,gef,yes,Confirm EF
Flares,Flare_component_leak,wellpad_flare,LeakProduction,20,Production/Wellhead/ComponentLeaks/EmissionFactor_Wellheads_AllStudies.csv,allen+other studies,no,
Flares,Flare_component_leak,C3,LeakProduction,20,Production/Wellhead/ComponentLeaks/EmissionFactor_Wellheads_AllStudies.csv,allen+other studies,no,
Flares,Flare_component_leak,ts_flare,LeakProduction,20,Midstream/GEFCombinedMidstream/EmissionsData/GEFC_EF_Separator Component.csv,gef,no,Confirm EF
Flares,Flare_component_leak,appalachian,LeakProduction,20,Common/Allen/Rocky Mountain/Allen_RM_FLARE_CONT_EF.csv,allen ,no,Confirm EF. No Flare data for Rocky Mountain
Flares,Flare_component_leak,mid-continent,LeakProduction,20,Common/Allen/Mid Continent/Allen_MC_ALLPNM_EF.csv,allen ,no,Confirm EF. No Flare data for Mid Continent
,,,,,,,,
Compressors,Blowdown_event,gef_comp,EmpiricalFlowImmediateProduction,,,,yes,
Compressors,Comp_blowdown,gef_comp,SpecificLeaksProduction,1,Midstream/GEFCombinedMidstream/EmissionsData/GEFC_EF_Compressor Blowdown Vent.csv,gef,yes,
Compressors,Comp_component_leak,gef_comp,LeakProduction,20,Midstream/GEFCombinedMidstream/EmissionsData/GEFC_EF_Compressor Component.csv,gef,yes,
Compressors,Comp_pneumatic,gef_comp,PneumaticEmitterProduction,Midstream/GEFCombinedMidstream/ActivityData/GEFC_AF_Compressor Pneumatic Controller.csv,Midstream/GEFCombinedMidstream/EmissionsData/GEFC_EF_Pneumatic Any.csv,gef,yes,
Compressors,Dry_seal_large_emitter,gef_comp,SpecificLeaksProduction,1,Midstream/GEFCombinedMidstream/EmissionsData/GEFC_EF_Compressor Rod Packing Vent Large Emitter.csv,gef,yes,
Compressors,Comp_emp_dry_seal_vent,gef_comp,EmpiricalFlowProduction,,Midstream/TS/EmissionsData/TS_EF_Centrifugal DrySealVent (OP).csv,ts,no,
Compressors,Rod_packing_large_emitter,gef_comp,SpecificLeaksProduction,1,Midstream/GEFCombinedMidstream/EmissionsData/GEFC_EF_Compressor Rod Packing Vent Large Emitter.csv,gef,yes,
Compressors,Rod_packing_vent_nod,gef_comp,SpecificLeaksProduction,1,Midstream/GEFCombinedMidstream/EmissionsData/GEFC_EF_Compressor Rod Packing Vent (NOD).csv,gef,yes,
Compressors,Rod_packing_vent_nop,gef_comp,SpecificLeaksProduction,1,Midstream/GEFCombinedMidstream/EmissionsData/GEFC_EF_Compressor Rod Packing Vent (NOP).csv,gef,yes,
Compressors,Rod_packing_vent_op,gef_comp,SpecificLeaksProduction,1,Midstream/GEFCombinedMidstream/EmissionsData/GEFC_EF_Compressor Rod Packing Vent (OP).csv,gef,yes,
Compressors,Comp_wet_seal_large_emitter,gef_comp,SpecificLeaksProduction,1,Midstream/GEFCombinedMidstream/EmissionsData/GEFC_EF_Compressor Rod Packing Vent Large Emitter.csv,gef,yes,
Compressors,Comp_emp_wet_seal_vent,gef_comp,EmpiricalFlowProduction,,Midstream/TS/EmissionsData/TS_EF_Centrifugal WetSealVent (OP).csv,ts,no,
Compressors,Comp_single_unit_vent_large_emitter,gef_comp,SpecificLeaksProduction,1,Midstream/GEFCombinedMidstream/EmissionsData/GEFC_EF_Compressor Single-Unit Vent Large Emitter.csv,gef,yes,
Compressors,Comp_single_unit_vent_leak,gef_comp,SpecificLeaksProduction,1,Midstream/GEFCombinedMidstream/EmissionsData/GEFC_EF_Compressor Common Single-Unit Vent.csv,gef,yes,
Compressors,Comp_starter_vent_leak,gef_comp,SpecificLeaksProduction,1,Midstream/GEFCombinedMidstream/EmissionsData/GEFC_EF_Compressor Starter Vent.csv,gef,yes,
Compressors,Blowdown_event,ts_compressor,EmpiricalFlowImmediateProduction,,,,yes,
Compressors,Comp_blowdown,ts_compressor,SpecificLeaksProduction,1,Midstream/TS/EmissionsData/TS_EF_BlowdownVent (OP & NOP).csv,ts,yes,
Compressors,Comp_component_leak,ts_compressor,LeakProduction,20,Midstream/GEFCombinedMidstream/EmissionsData/GEFC_EF_Compressor Component.csv,gef,no,Confirm EF
Compressors,Comp_pneumatic,ts_compressor,PneumaticEmitterProduction,Midstream/GEFCombinedMidstream/ActivityData/GEFC_AF_Compressor Pneumatic Controller.csv,Midstream/TS/EmissionsData/TS_EF_Pneumatic Any.csv,ts,yes,Confirm AF
Compressors,Dry_seal_large_emitter,ts_compressor,SpecificLeaksProduction,1,Midstream/GEFCombinedMidstream/EmissionsData/GEFC_EF_Compressor Rod Packing Vent Large Emitter.csv,gef,no,Confirm EF
Compressors,Comp_emp_dry_seal_vent,ts_compressor,EmpiricalFlowProduction,,Midstream/TS/EmissionsData/TS_EF_Centrifugal DrySealVent (OP).csv,ts,yes,
Compressors,Rod_packing_large_emitter,ts_compressor,SpecificLeaksProduction,1,Midstream/GEFCombinedMidstream/EmissionsData/GEFC_EF_Compressor Rod Packing Vent Large Emitter.csv,gef,no,Confirm EF
Compressors,Rod_packing_vent_nod,ts_compressor,SpecificLeaksProduction,1,Midstream/GEFCombinedMidstream/EmissionsData/GEFC_EF_Compressor Rod Packing Vent (NOD).csv,gef,no,Confirm EF
Compressors,Rod_packing_vent_nop,ts_compressor,SpecificLeaksProduction,1,Midstream/TS/EmissionsData/TS_EF_Recip RodPacking (NOP).csv,ts,yes,
Compressors,Rod_packing_vent_op,ts_compressor,SpecificLeaksProduction,1,Midstream/TS/EmissionsData/TS_EF_Recip RodPacking (OP).csv,ts,yes,
Compressors,Comp_wet_seal_large_emitter,ts_compressor,SpecificLeaksProduction,1,Midstream/GEFCombinedMidstream/EmissionsData/GEFC_EF_Compressor Rod Packing Vent Large Emitter.csv,gef,no,Confirm EF
Compressors,Comp_emp_wet_seal_vent,ts_compressor,EmpiricalFlowProduction,,Midstream/TS/EmissionsData/TS_EF_Centrifugal WetSealVent (OP).csv,ts,yes,
Compressors,Comp_single_unit_vent_large_emitter,ts_compressor,SpecificLeaksProduction,1,Midstream/GEFCombinedMidstream/EmissionsData/GEFC_EF_Compressor Single-Unit Vent Large Emitter.csv,gef,no,Confirm EF
Compressors,Comp_single_unit_vent_leak,ts_compressor,SpecificLeaksProduction,1,Midstream/GEFCombinedMidstream/EmissionsData/GEFC_EF_Compressor Common Single-Unit Vent.csv,gef,no,Confirm EF
Compressors,Comp_starter_vent_leak,ts_compressor,SpecificLeaksProduction,1,Midstream/GEFCombinedMidstream/EmissionsData/GEFC_EF_Compressor Starter Vent.csv,gef,no,Confirm EF
,,,,,,,,
YardPiping,YP_component_leak,gef_misc,LeakProduction,20,Midstream/GEFCombinedMidstream/EmissionsData/GEFC_EF_YardPiping Component.csv,gef,yes,
YardPiping,YP_pneumatic,gef_misc,PneumaticEmitterProduction,Midstream/GEFCombinedMidstream/ActivityData/GEFC_AF_YardPiping Pneumatic Controller.csv,Midstream/GEFCombinedMidstream/EmissionsData/GEFC_EF_Pneumatic Any.csv,gef,yes,
YardPiping,Stn_common_vent_leak,gef_misc,SpecificLeaksProduction,1,Midstream/GEFCombinedMidstream/EmissionsData/GEFC_EF_Station Common Station Vent.csv,gef,yes,
YardPiping,Stn_common_vent_large_emitter,gef_misc,SpecificLeaksProduction,1,Midstream/GEFCombinedMidstream/EmissionsData/GEFC_EF_Station Station Vent Large Emitter.csv,gef,yes,
YardPiping,Stn_components_large_emitter,gef_misc,SpecificLeaksProduction,1,Midstream/GEFCombinedMidstream/EmissionsData/GEFC_EF_Station Components Large Emitter.csv,gef,yes,
YardPiping,YP_component_leak,wellpad_misc,LeakProduction,20,Production/Wellhead/ComponentLeaks/EmissionFactor_Wellheads_AllStudies.csv,gef,no,
YardPiping,YP_pneumatic,wellpad_misc,PneumaticEmitterProduction,Common/Allen/Rocky Mountain/Allen_RM_ALLPNM_AF.csv,Common/Allen/Rocky Mountain/Allen_RM_ALLPNM_EF.csv,allen,no,Confirm EF and AF
YardPiping,Stn_common_vent_leak,wellpad_misc,SpecificLeaksProduction,1,Midstream/GEFCombinedMidstream/EmissionsData/GEFC_EF_Station Common Station Vent.csv,gef,no,Confirm EF
YardPiping,YP_component_leak,C3,LeakProduction,20,Production/Wellhead/ComponentLeaks/EmissionFactor_Wellheads_AllStudies.csv,allen+other studies,no,
YardPiping,YP_pneumatic,C3,PneumaticEmitterProduction,Common/Allen/Rocky Mountain/Allen_RM_ALLPNM_AF.csv,Common/Allen/Rocky Mountain/Allen_RM_ALLPNM_EF.csv,allen,no,Confirm EF and AF
YardPiping,Stn_common_vent_leak,C3,SpecificLeaksProduction,1,Midstream/GEFCombinedMidstream/EmissionsData/GEFC_EF_Station Common Station Vent.csv,gef,no,Confirm EF
YardPiping,Stn_components_large_emitter,C3,SpecificLeaksProduction,1,Production/DJMiscLargeEmitters/DJProductionFacs_All_LE.csv,CM,yes,
YardPiping,YP_component_leak,ts_misc,LeakProduction,20,Midstream/GEFCombinedMidstream/EmissionsData/GEFC_EF_YardPiping Component.csv,gef,no,Confirm EF
YardPiping,YP_pneumatic,ts_misc,PneumaticEmitterProduction,Midstream/GEFCombinedMidstream/ActivityData/GEFC_AF_YardPiping Pneumatic Controller.csv,Midstream/TS/EmissionsData/TS_EF_Pneumatic Any.csv,ts,yes,Confirm AF
YardPiping,Stn_common_vent_leak,ts_misc,SpecificLeaksProduction,1,Midstream/GEFCombinedMidstream/EmissionsData/GEFC_EF_Station Common Station Vent.csv,gef,no,Confirm EF
YardPiping,Stn_common_vent_large_emitter,ts_misc,SpecificLeaksProduction,1,Midstream/TS/EmissionsData/TS_EF_Station Superemitter.csv,ts,yes,
YardPiping,Stn_components_large_emitter,ts_misc,SpecificLeaksProduction,1,Midstream/GEFCombinedMidstream/EmissionsData/GEFC_EF_Station Components Large Emitter.csv,gef,no,Confirm EF
YardPiping,YP_component_leak,appalachian,LeakProduction,20,Production/Wellhead/ComponentLeaks/EmissionFactor_Wellheads_AllStudies.csv,allen,no,
YardPiping,YP_pneumatic,appalachian,PneumaticEmitterProduction,Common/Allen/Appalachian/Allen_AP_ALLPNM_AF.csv,Common/Allen/Appalachian/Allen_AP_ALLPNM_EF.csv,allen,no,
YardPiping,Stn_common_vent_leak,appalachian,SpecificLeaksProduction,1,Midstream/GEFCombinedMidstream/EmissionsData/GEFC_EF_Station Common Station Vent.csv,gef,no,Confirm EF
YardPiping,YP_component_leak,mid-continent,LeakProduction,20,Production/Wellhead/ComponentLeaks/EmissionFactor_Wellheads_AllStudies.csv,allen+other studies,no,
YardPiping,YP_pneumatic,mid-continent,PneumaticEmitterProduction,Common/Allen/Mid Continent/Allen_MC_COMPR_ANY_AF.csv,Common/Allen/Mid Continent/Allen_MC_ALLPNM_EF.csv,allen,no,Confirm AF
YardPiping,Stn_common_vent_leak,mid-continent,SpecificLeaksProduction,1,Midstream/GEFCombinedMidstream/EmissionsData/GEFC_EF_Station Common Station Vent.csv,gef,no,Confirm EF
YardPiping,Stn_components_large_emitter,mid-continent,SpecificLeaksProduction,1,PermianBasinLargeEmitters/PermianBasinLargeEmitters_Bridger.csv,bridger,yes,
,,,,,,,,
Dehydrators,Dehy_component_leak,ts_dehy,LeakProduction,20,Midstream/GEFCombinedMidstream/EmissionsData/GEFC_EF_Dehydrator Component.csv,gef,no,
Dehydrators,Dehy_emp_still_vent,ts_dehy,EmpiricalFlowProduction,,Midstream/GHGRP/EmissionsData/GHGRP_EF_Gathering Dehydrator Still Vent (GT 25 MMscfd).csv,ghgrp,no,
Dehydrators,Dehy_pneumatic,ts_dehy,PneumaticEmitterProduction,GEFCombined/ActivityData/GEFC_AF_Dehydrator Pneumatic Controller.csv,Midstream/GEFCombinedMidstream/EmissionsData/GEFC_EF_Pneumatic Any.csv,gef,no,
Dehydrators,Dehy_component_leak,gef_dehy,LeakProduction,20,Midstream/GEFCombinedMidstream/EmissionsData/GEFC_EF_Dehydrator Component.csv,gef,yes,
Dehydrators,Dehy_emp_still_vent,gef_dehy,EmpiricalFlowProduction,,Midstream/GHGRP/EmissionsData/GHGRP_EF_Gathering Dehydrator Still Vent (GT 25 MMscfd).csv,ghgrp,no,
Dehydrators,Dehy_pneumatic,gef_dehy,PneumaticEmitterProduction,GEFCombined/ActivityData/GEFC_AF_Dehydrator Pneumatic Controller.csv,Midstream/GEFCombinedMidstream/EmissionsData/GEFC_EF_Pneumatic Any.csv,gef,yes,
,,,,,,,,
ContinuousPneumatics,pc_emissions_cont,pc_continuous,StateBasedEmitterProduction,,Midstream/BenPneumaticsCompressorStations/LowBleedNormal_Luck.csv,allen+other studies,yes,
ContinuousPneumatics,pc_emissions_abnormal,pc_continuous,StateBasedEmitterProduction,,Midstream/BenPneumaticsCompressorStations/LowBleedAbnormal_Luck.csv,allen+other studies,yes,
ContinuousPneumatics,pc_emissions_cont,Allen,StateBasedEmitterProduction,,Common/Allen/Rocky Mountain/Allen_RM_WELLH_ANY_EF.csv,allen,yes,
ContinuousPneumatics,pc_emissions_abnormal,Allen,StateBasedEmitterProduction,,Common/Allen/Rocky Mountain/Allen_RM_WELLH_ANY_EF.csv,allen,yes,
IntermittentPneumatics,pc_emissions_int,pc_intermittent,StateBasedEmitterProduction,,Midstream/BenPneumaticsCompressorStations/IntermittentActuations_Luck.csv,allen+other studies,yes,
IntermittentPneumatics,pc_emissions_abnormal_int,pc_intermittent,StateBasedEmitterProduction,,Midstream/BenPneumaticsCompressorStations/IntermittentActuations_Luck.csv,allen+other studies,yes,
IntermittentPneumatics,pc_emissions_wait_int,pc_intermittent,StateBasedEmitterProduction,,Midstream/BenPneumaticsCompressorStations/IntermittentActuations_Luck.csv,allen+other studies,yes,
IntermittentPneumatics,pc_emissions_int,Allen,StateBasedEmitterProduction,,Common/Allen/Rocky Mountain/Allen_RM_WELLH_ANY_EF.csv,allen,yes,
IntermittentPneumatics,pc_emissions_abnormal_int,Allen,StateBasedEmitterProduction,,Common/Allen/Rocky Mountain/Allen_RM_WELLH_ANY_EF.csv,allen,yes,
IntermittentPneumatics,pc_emissions_wait_int,Allen,StateBasedEmitterProduction,,Common/Allen/Rocky Mountain/Allen_RM_WELLH_ANY_EF.csv,allen,yes,
Pneumatics,pc_emissions,pc_chevron,StateBasedEmitterProduction,Common/Allen/Rocky Mountain/Allen_RM_WELLH_ANY_AF.csv,Common/Allen/Rocky Mountain/Allen_RM_WELLH_ANY_EF.csv,allen,yes,
Pneumatics,pc_emissions,pc3,StateBasedEmitterProduction,Common/Allen/Rocky Mountain/Allen_RM_WELLH_ANY_AF.csv,Common/Allen/Rocky Mountain/Allen_RM_WELLH_ANY_EF.csv,allen,yes,
Pneumatics,pc_emissions,pc4,StateBasedEmitterProduction,Common/Allen/Rocky Mountain/Allen_RM_WELLH_ANY_AF.csv,Common/Allen/Rocky Mountain/Allen_RM_WELLH_ANY_EF.csv,allen,yes,
,,,,,,,,
,,,,,,,,
Compressors,Comp_blowdown,50_PS2,SpecificLeaksProduction,1,Production/Scaled EF for Small Compressors/PS2_VV_50_HP_Stage2_ScaledEFBlowdown.csv,gef_scaled,yes,
Compressors,Rod_packing_vent_nod,50_PS2,SpecificLeaksProduction,1,Production/Scaled EF for Small Compressors/PS2_VV_50_HP_Stage2_ScaledEFRodPackingNOD.csv,gef_scaled,yes,
Compressors,Rod_packing_vent_nop,50_PS2,SpecificLeaksProduction,1,Production/Scaled EF for Small Compressors/PS2_VV_50_HP_Stage2_ScaledEFRodPackingNOP.csv,gef_scaled,yes,
Compressors,Rod_packing_vent_op,50_PS2,SpecificLeaksProduction,1,Production/Scaled EF for Small Compressors/PS2_VV_50_HP_Stage2_ScaledEFRodPackingOP.csv,gef_scaled,yes,
Compressors,Blowdown_event,50_PS2,EmpiricalFlowImmediateProduction,,,,no,
Compressors,Comp_component_leak,50_PS2,LeakProduction,20,Midstream/GEFCombinedMidstream/EmissionsData/GEFC_EF_Compressor Component.csv,gef,no,
Compressors,Comp_pneumatic,50_PS2,PneumaticEmitterProduction,Common/Allen/Rocky Mountain/Allen_RM_ALLPNM_AF.csv,Common/Allen/Rocky Mountain/Allen_RM_ALLPNM_EF.csv,allen,no,Confirm EF
