Field,Value,Type of Entry,Notes,,
  Gerry,Roop
Profile Type,Emitter,Either Activity or EmitterIdentifies what is in this sheet or file
Name,G_C_Connector_Threaded,"Free form, but referenced in the Model Formulation"
Sector,Gathering,Free Form,Industry segment (free form field),,
Major Equipment,Compressor,Pick List,"Major equipment type, used for QC checks",,
Emitter,Connector_Threaded,Free Form,Name of the emitter,,
Active Mode,OP,"Pick List, dependent on major euqipment type","Mode when this is active, may be list of multiple mode IDs.",,
Distribution Type,Histogram,Pick List,Histogram or Analytic,,
Value Column Name,Emission Rate,,
Gas Type,WholeGas,Pick List,What is being emitted,,
Screened Components,30956.3638,FP Number
Emitting Components,778.46,FP Number,Emitting components must be <= screened components,,
Data Origin,"GEF Study, AvgFactor.xlsx, Sheet 'C Connector Flanged'",Free form,Anything you want,,
Notes,,
%%%ENDOFMETADATA%%%,,
Sample ID,Value,Frequency
340,17.125,204
341,17.175,169
342,17.225,156
343,17.275,159
344,17.325,163
345,17.375,161
346,17.425,157
347,17.475,137
348,17.525,130
349,17.575,135
350,17.625,97
351,17.675,89
352,17.725,80
353,17.775,98
354,17.825,77
355,17.875,101
356,17.925,102
357,17.975,112
358,18.025,64
359,18.075,89
360,18.125,54
361,18.175,57
362,18.225,42
363,18.275,46
364,18.325,72
365,18.375,64
366,18.425,58
367,18.475,39
368,18.525,40
369,18.575,48
370,18.625,18
371,18.675,53
372,18.725,72
373,18.775,89
374,18.825,82
375,18.875,92
376,18.925,89
377,18.975,141
378,19.025,124
379,19.075,125
380,19.125,134
381,19.175,154
382,19.225,173
383,19.275,217
384,19.325,218
385,19.375,211
386,19.425,206
387,19.475,241
388,19.525,248
389,19.575,296
390,19.625,282
391,19.675,268
392,19.725,293
393,19.775,253
394,19.825,322
395,19.875,293
396,19.925,268
397,19.975,276
398,20.025,266
399,20.075,248
400,20.125,200
401,20.175,225
402,20.225,210
403,20.275,205
404,20.325,189
405,20.375,156
406,20.425,165
407,20.475,175
408,20.525,130
409,20.575,129
410,20.625,121
411,20.675,149
412,20.725,167
413,20.775,139
414,20.825,121
415,20.875,97
416,20.925,128
417,20.975,90
418,21.025,144
419,21.075,140
420,21.125,106
421,21.175,135
422,21.225,125
423,21.275,102
424,21.325,101
425,21.375,91
426,21.425,90
427,21.475,115
428,21.525,76
429,21.575,91
430,21.625,82
431,21.675,104
432,21.725,91
433,21.775,142
434,21.825,85
435,21.875,72
436,21.925,117
437,21.975,103
438,22.025,83
439,22.075,123
440,22.125,68
441,22.175,97
442,22.225,85
443,22.275,87
444,22.325,113
445,22.375,84
446,22.425,84
447,22.475,96
448,22.525,100
449,22.575,76
450,22.625,95
451,22.675,95
452,22.725,70
453,22.775,104
454,22.825,65
455,22.875,83
456,22.925,93
457,22.975,108
458,23.025,95
459,23.075,127
460,23.125,69
461,23.175,104
462,23.225,99
463,23.275,94
464,23.325,77
465,23.375,125
466,23.425,104
467,23.475,84
468,23.525,116
469,23.575,169
470,23.625,117
471,23.675,170
472,23.725,113
473,23.775,157
474,23.825,156
475,23.875,114
476,23.925,124
477,23.975,173
478,24.025,173
479,24.075,159
480,24.125,199
481,24.175,175
482,24.225,166
483,24.275,225
484,24.325,192
485,24.375,221
486,24.425,188
487,24.475,205
488,24.525,185
489,24.575,247
490,24.625,226
491,24.675,214
492,24.725,181
493,24.775,222
494,24.825,197
495,24.875,154
496,24.925,200
497,24.975,210
498,25.025,181
499,25.075,189
500,25.125,164
501,25.175,218
502,25.225,201
503,25.275,176
504,25.325,183
505,25.375,184
506,25.425,141
507,25.475,169
508,25.525,139
509,25.575,169
510,25.625,206
511,25.675,128
512,25.725,171
513,25.775,143
514,25.825,151
515,25.875,107
516,25.925,115
517,25.975,117
518,26.025,99
519,26.075,127
520,26.125,117
521,26.175,134
522,26.225,105
523,26.275,154
524,26.325,88
525,26.375,108
526,26.425,50
527,26.475,72
528,26.525,77
529,26.575,99
530,26.625,80
531,26.675,62
532,26.725,64
533,26.775,51
534,26.825,65
535,26.875,88
536,26.925,58
537,26.975,69
538,27.025,67
539,27.075,80
540,27.125,63
541,27.175,68
542,27.225,110
543,27.275,75
544,27.325,73
545,27.375,157
546,27.425,107
547,27.475,88
548,27.525,93
549,27.575,82
550,27.625,111
551,27.675,68
552,27.725,89
553,27.775,116
554,27.825,120
555,27.875,112
556,27.925,105
557,27.975,111
558,28.025,120
559,28.075,103
560,28.125,74
561,28.175,150
562,28.225,90
563,28.275,86
564,28.325,106
565,28.375,132
566,28.425,104
567,28.475,108
568,28.525,54
569,28.575,81
570,28.625,55
571,28.675,106
572,28.725,87
573,28.775,89
574,28.825,87
575,28.875,77
576,28.925,68
577,28.975,72
578,29.025,55
579,29.075,49
580,29.125,73
581,29.175,80
582,29.225,54
583,29.275,48
584,29.325,85
585,29.375,66
586,29.425,58
587,29.475,45
588,29.525,44
589,29.575,36
590,29.625,50
591,29.675,73
592,29.725,38
593,29.775,32
594,29.825,62
595,29.875,50
596,29.925,23
597,29.975,30
598,30.025,33
599,30.075,63
600,30.125,13
601,30.175,46
602,30.225,23
603,30.275,63
604,30.325,27
605,30.375,50
606,30.425,40
607,30.475,38
608,30.525,60
609,30.575,63
610,30.625,39
611,30.675,36
612,30.725,45
613,30.775,62
614,30.825,43
615,30.875,82
616,30.925,55
617,30.975,57
618,31.025,66
619,31.075,63
620,31.125,54
621,31.175,65
622,31.225,63
623,31.275,108
624,31.325,60
625,31.375,79
626,31.425,79
627,31.475,59
628,31.525,58
629,31.575,48
630,31.625,84
631,31.675,78
632,31.725,51
633,31.775,89
634,31.825,82
635,31.875,78
636,31.925,67
637,31.975,64
638,32.025,62
639,32.075,58
640,32.125,83
641,32.175,59
642,32.225,64
643,32.275,66
644,32.325,66
645,32.375,39
646,32.425,49
647,32.475,41
648,32.525,36
649,32.575,59
650,32.625,22
651,32.675,35
652,32.725,39
653,32.775,38
654,32.825,35
655,32.875,19
656,32.925,17
657,32.975,29
658,33.025,15
659,33.075,29
660,33.125,15
661,33.175,8
662,33.225,31
663,33.275,16
664,33.325,13
665,33.375,9
666,33.425,11
667,33.475,31
668,33.525,29
669,33.575,16
670,33.625,15
671,33.675,18
672,33.725,19
673,33.775,30
674,33.825,16
675,33.875,17
676,33.925,28
677,33.975,20
678,34.025,21
679,34.075,22
680,34.125,16
681,34.175,24
682,34.225,20
683,34.275,21
684,34.325,27
685,34.375,35
686,34.425,35
687,34.475,36
688,34.525,36
689,34.575,33
690,34.625,40
691,34.675,33
692,34.725,46
693,34.775,48
694,34.825,55
695,34.875,37
696,34.925,45
697,34.975,37
698,35.025,45
699,35.075,46
700,35.125,75
701,35.175,41
702,35.225,30
703,35.275,49
704,35.325,64
705,35.375,63
706,35.425,36
707,35.475,31
708,35.525,62
709,35.575,54
710,35.625,59
711,35.675,46
712,35.725,74
713,35.775,68
714,35.825,71
715,35.875,75
716,35.925,78
717,35.975,69
718,36.025,57
719,36.075,58
720,36.125,59
721,36.175,59
722,36.225,86
723,36.275,48
724,36.325,49
725,36.375,67
726,36.425,66
727,36.475,58
728,36.525,49
729,36.575,68
730,36.625,71
731,36.675,54
732,36.725,77
733,36.775,55
734,36.825,38
735,36.875,65
736,36.925,35
737,36.975,55
738,37.025,38
739,37.075,57
740,37.125,51
741,37.175,36
742,37.225,52
743,37.275,54
744,37.325,50
745,37.375,58
746,37.425,53
747,37.475,54
748,37.525,37
749,37.575,36
750,37.625,66
751,37.675,39
752,37.725,31
753,37.775,39
754,37.825,31
755,37.875,37
756,37.925,23
757,37.975,45
758,38.025,35
759,38.075,38
760,38.125,39
761,38.175,51
762,38.225,30
763,38.275,43
764,38.325,26
