Field,Value,Type of Entry,Notes,,
  Gerry,Roop
Profile Type,Emitter,Either Activity or EmitterIdentifies what is in this sheet or file
Name,G_C_Connector_Threaded,"Free form, but referenced in the Model Formulation"
Sector,Gathering,Free Form,Industry segment (free form field),,
Major Equipment,Compressor,Pick List,"Major equipment type, used for QC checks",,
Emitter,Connector_Threaded,Free Form,Name of the emitter,,
Active Mode,OP,"Pick List, dependent on major euqipment type","Mode when this is active, may be list of multiple mode IDs.",,
Distribution Type,Histogram,Pick List,Histogram or Analytic,,
Value Column Name,Emission Rate,,
Gas Type,WholeGas,Pick List,What is being emitted,,
Screened Components,30956.3638,FP Number
Emitting Components,778.46,FP Number,Emitting components must be <= screened components,,
Data Origin,"GEF Study, AvgFactor.xlsx, Sheet 'C Connector Flanged'",Free form,Anything you want,,
Notes,,
%%%ENDOFMETADATA%%%,,
Sample ID,Value,Frequency
1404,139.275,7
1405,139.325,15
1406,139.375,13
1407,139.425,11
1408,139.475,5
1409,139.525,8
1410,139.575,22
1411,139.625,11
1412,139.675,7
1413,139.725,8
1414,139.775,9
1415,139.825,6
1416,139.875,9
1417,139.925,13
1418,139.975,19
1419,140.025,4
1420,140.075,13
1421,140.125,11
1422,140.175,2
1423,140.225,3
1424,140.325,4
1425,140.375,6
1426,140.425,5
1427,140.475,2
1428,140.525,4
1429,140.625,4
1430,140.675,3
1431,140.725,13
1432,140.775,4
1433,140.825,3
1434,140.875,6
1435,140.925,3
1436,140.975,2
1437,141.025,10
1438,141.075,4
1439,141.125,2
1440,141.175,1
1441,141.225,4
1442,141.275,2
1443,141.325,1
1444,141.375,1
1445,141.425,1
1446,141.475,5
1447,141.575,11
1448,141.675,4
1449,141.725,2
1450,141.775,7
1451,141.825,4
1452,141.875,7
1453,141.975,9
1454,142.025,6
1455,142.125,4
1456,142.175,1
1457,142.225,5
1458,142.275,3
1459,142.325,2
1460,142.375,2
1461,142.425,9
1462,142.475,6
1463,142.525,5
1464,142.575,5
1465,142.675,3
1466,142.725,7
1467,142.775,5
1468,142.825,8
1469,142.875,9
1470,142.925,6
1471,142.975,4
1472,143.025,5
1473,143.075,5
1474,143.125,9
1475,143.175,7
1476,143.225,2
1477,143.275,7
1478,143.325,2
1479,143.425,8
1480,143.475,10
1481,143.525,5
1482,143.575,6
1483,143.625,4
1484,143.675,8
1485,143.725,5
1486,143.775,2
1487,143.825,7
1488,143.875,3
1489,143.925,4
1490,143.975,7
1491,144.025,8
1492,144.075,9
1493,144.125,9
1494,144.175,8
1495,144.225,4
1496,144.275,10
1497,144.325,1
1498,144.375,13
1499,144.425,8
1500,144.475,5
1501,144.525,2
1502,144.575,9
1503,144.625,3
1504,144.675,12
1505,144.725,9
1506,144.775,6
1507,144.825,7
1508,144.875,10
1509,144.925,10
1510,144.975,1
1511,145.025,2
1512,145.075,7
1513,145.125,12
1514,145.175,9
1515,145.225,12
1516,145.275,6
1517,145.325,5
1518,145.375,12
1519,145.425,7
1520,145.475,12
1521,145.525,10
1522,145.575,10
1523,145.625,10
1524,145.675,15
1525,145.725,8
1526,145.775,11
1527,145.825,2
1528,145.875,10
1529,145.975,2
1530,146.025,12
1531,146.075,8
1532,146.125,21
1533,146.175,2
1534,146.225,16
1535,146.275,3
1536,146.325,9
1537,146.375,7
1538,146.425,7
1539,146.475,10
1540,146.525,12
1541,146.575,4
1542,146.625,9
1543,146.675,8
1544,146.725,3
1545,146.775,10
1546,146.825,15
1547,146.875,10
1548,146.925,10
1549,146.975,8
1550,147.025,23
1551,147.075,12
1552,147.125,3
1553,147.175,10
1554,147.225,11
1555,147.275,9
1556,147.325,12
1557,147.375,6
1558,147.425,12
1559,147.475,10
1560,147.525,16
1561,147.575,12
1562,147.625,20
1563,147.675,16
1564,147.725,12
1565,147.775,10
1566,147.825,8
1567,147.875,3
1568,147.925,14
1569,147.975,4
1570,148.025,15
1571,148.075,14
1572,148.125,10
1573,148.175,5
1574,148.225,11
1575,148.275,12
1576,148.325,12
1577,148.375,15
1578,148.425,10
1579,148.475,15
1580,148.525,4
1581,148.575,6
1582,148.625,11
1583,148.675,10
1584,148.725,4
1585,148.775,23
1586,148.825,13
1587,148.875,13
1588,148.925,15
1589,148.975,10
1590,149.025,10
1591,149.075,9
1592,149.125,14
1593,149.175,16
1594,149.225,3
1595,149.275,10
1596,149.325,4
1597,149.375,17
1598,149.425,14
1599,149.475,17
1600,149.525,9
1601,149.575,5
1602,149.625,25
1603,149.675,13
1604,149.725,9
1605,149.775,8
1606,149.825,17
1607,149.875,2
1608,149.925,13
1609,149.975,5
1610,150.025,11
1611,150.075,15
1612,150.125,9
1613,150.175,4
1614,150.225,13
1615,150.275,3
1616,150.325,5
1617,150.375,2
1618,150.425,5
1619,150.475,15
1620,150.525,4
1621,150.575,9
1622,150.625,8
1623,150.675,10
1624,150.725,6
1625,150.775,10
1626,150.825,8
1627,150.875,5
1628,150.925,8
1629,150.975,7
1630,151.025,14
1631,151.075,10
1632,151.125,3
1633,151.225,9
1634,151.275,7
1635,151.325,7
1636,151.375,12
1637,151.425,2
1638,151.475,11
1639,151.525,3
1640,151.575,6
1641,151.625,7
1642,151.675,11
1643,151.725,6
1644,151.775,10
1645,151.825,2
1646,151.875,6
1647,151.925,13
1648,151.975,6
1649,152.025,14
1650,152.075,11
1651,152.125,3
1652,152.175,5
1653,152.225,10
1654,152.275,5
1655,152.325,12
1656,152.375,5
1657,152.425,1
1658,152.475,1
1659,152.575,4
1660,152.625,9
1661,152.675,3
1662,152.725,5
1663,152.775,3
1664,152.875,3
1665,152.975,4
1666,153.025,7
1667,153.175,4
1668,153.225,4
1669,153.275,1
1670,153.325,1
1671,153.475,1
1672,153.525,2
1673,153.625,4
1674,153.925,3
1675,154.075,4
1676,154.125,2
1677,154.175,6
1678,154.325,5
1679,154.375,2
1680,154.575,2
1681,155.025,1
1682,155.175,3
1683,155.275,1
1684,155.625,3
1685,155.975,2
1686,156.175,2
1687,156.225,3
1688,156.375,1
1689,156.975,3
1690,158.375,2
1691,158.875,5
