"Parameter","Value"
"Number of Stages","1"
"Stage 1 Pressure (psia)","264.65"
"Process Temperature (F)","100"
"GOR [scf/stb]","36917.4349910917"
"API gravity - stock tank condensate","58.0768091366941"
%%%ENDOFMETADATA%%%
"MajorEquipment","FluidFlow","Name","DriveFactor","DriveFactorUnits","GCUnits","Carbon Dioxide","Nitrogen","Hydrogen Sulfide","Methane","Ethane","Propane","Isobutane","Butane","Isopentane","Pentane","Hexane","Pseudocomponent 1","Pseudocomponent 2"
"Tank","Vapor","Well-Condensate.Stage1-Condensate.Tank-Flash",1,"bbl/bbl","kg/bbl",0.281458941340826,0.0619305145602025,0.00327764319852611,1.35535613712941,1.90764736199103,3.54091386619193,1.1191312392894,3.0322684280843,1.04818948538236,1.00935071819446,1.1112682594333,1.26970491591354,0.000158074040514386
"Stage1","Vapor","Well-Condensate.Stage1-Flash",1,"bbl/bbl","kg/bbl",37.458485069341,71.3330112470221,0.227155352279946,496.345500088436,155.591497118709,108.545702762203,19.7476519101756,44.5507618341893,11.1919027044176,10.0876383314042,9.8121454204694,11.5309415095228,0.00258485188994316
"Facility","Vapor","Default-LeakGc",1,"bbl/bbl","kg/bbl",37.458485069341,71.3330112470221,0.227155352279946,496.345500088436,155.591497118709,108.545702762203,19.7476519101756,44.5507618341893,11.1919027044176,10.0876383314042,9.8121454204694,11.5309415095228,0.00258485188994316
"Tank","Vapor","Well-Condensate.Stage1-Condensate.Tank-Flash",302.321888952616,"scf/bbl","kg/scf",0.000930990945829067,0.00020484958854537,1.08415676082251e-05,0.00448315582383067,0.00630998757185599,0.0117123966063434,0.00370178700313958,0.0100299334546681,0.00346713064347997,0.00333866238296976,0.00367577836749848,0.00419984447805744,5.22866673868798e-07
"Stage1","Vapor","Well-Condensate.Stage1-Flash",36481.3310508186,"scf/bbl","kg/scf",0.00102678504293501,0.00195532918323772,6.22661908808967e-06,0.0136054657489614,0.00426496217755788,0.00297537671010408,0.000541308426566648,0.00122119343102174,0.000306784384835829,0.000276515084314005,0.000268963470844883,0.000316077872637382,7.08541003161989e-08
"Facility","Vapor","Default-LeakGc",36481.3310508186,"scf/bbl","kg/scf",0.00102678504293501,0.00195532918323772,6.22661908808967e-06,0.0136054657489614,0.00426496217755788,0.00297537671010408,0.000541308426566648,0.00122119343102174,0.000306784384835829,0.000276515084314005,0.000268963470844883,0.000316077872637382,7.08541003161989e-08
"Tank","Vapor","Well-Condensate.Stage1-Condensate.Tank-Flash",361.365353865061,"mol/bbl","mol/mol",0.0176977138690019,0.00612068663411966,0.000266143324073305,0.233831249692565,0.175557002200977,0.222192942887674,0.0532854823157675,0.144376173257338,0.0402028601799641,0.0387132158469571,0.0356833737070184,0.0322180789059396,1.95727728382986e-06
"Stage1","Vapor","Well-Condensate.Stage1-Flash",43606.1350050435,"mol/bbl","mol/mol",0.019518716026451,0.0584231449139403,0.000152853642732001,0.709630265764593,0.118660134567013,0.056445126444866,0.00779188012890255,0.0175785048998366,0.00355729593061191,0.0032063104669079,0.00261101815293239,0.00242471403268791,2.65232281852978e-07
"Facility","Vapor","Default-LeakGc",43606.1350050435,"mol/bbl","mol/mol",0.019518716026451,0.0584231449139403,0.000152853642732001,0.709630265764593,0.118660134567013,0.056445126444866,0.00779188012890255,0.0175785048998366,0.00355729593061191,0.0032063104669079,0.00261101815293239,0.00242471403268791,2.65232281852978e-07
"Tank","Vapor","Well-Water.Stage1-Water.Tank-Flash",1,"bbl/bbl","kg/bbl",0,0,0,0.0368902902330909,0.0148200722515345,0.00792729707996425,0.00258142595112991,0.00259330089879568,0.00047242500118774,0.000425812542921238,0.00129942711123262,0.000326991688392557,7.33006132273916e-08
"Tank","Vapor","Well-Water.Stage1-Water.Tank-Flash",3.09206465253196,"mol/bbl","mol/mol",0,0,0,0.743805083173071,0.159392663087525,0.0581350403696619,0.0143643341720711,0.0144304122699039,0.00211761971371375,0.00190868187113209,0.00487637243688005,0.000969686834872313,1.06071168982705e-07
"Tank","Vapor","Well-Water.Stage1-Water.Tank-Flash",2.58685238227387,"scf/bbl","kg/scf",0,0,0,0.014260686263305,0.00572899804916874,0.00306445668654509,0.000997902303517147,0.00100249280421488,0.000182625419380318,0.000164606432836706,0.000502319776782319,0.000126405236971863,2.83358315030561e-08
"Stage1","Vapor","Well-Water.Stage1-Flash",1,"bbl/bbl","kg/bbl",0,0,0,0,0,0,0,0,0,0,0,0,0
"Stage1","Vapor","Well-Water.Stage1-Flash",0,"mol/bbl","mol/mol",0,0,0,0,0,0,0,0,0,0,0,0,0
"Stage1","Vapor","Well-Water.Stage1-Flash",0,"scf/bbl","kg/scf",0,0,0,0,0,0,0,0,0,0,0,0,0
