MajorEquipment,emitterModelFactorTag,factorTag,Emitter,activityDistribution,emissionDriver,notes,correctFactors
Compressors,Dry_seal_large_emitter,gef_comp,SpecificLeaksProduction,1,GEFCombined/EmissionsData/GEFC_EF_Compressor Rod Packing Vent Large Emitter.csv,gef study,yes
Compressors,Comp_emp_dry_seal_vent,gef_comp,EmpiricalFlowProduction,N/A,TS/EmissionsData/TS_EF_Centrifugal DrySealVent (OP).csv,ts study,no
Compressors,Rod_packing_large_emitter,gef_comp,SpecificLeaksProduction,1,GEFCombined/EmissionsData/GEFC_EF_Compressor Rod Packing Vent Large Emitter.csv,gef study,yes
Compressors,Rod_packing_vent_nod,gef_comp,SpecificLeaksProduction,1,GEFCombined/EmissionsData/GEFC_EF_Compressor Rod Packing Vent (NOD).csv,gef study,yes
Compressors,Rod_packing_vent_nop,gef_comp,SpecificLeaksProduction,1,GEFCombined/EmissionsData/GEFC_EF_Compressor Rod Packing Vent (NOP).csv,gef study,yes
Compressors,Rod_packing_vent_op,gef_comp,SpecificLeaksProduction,1,GEFCombined/EmissionsData/GEFC_EF_Compressor Rod Packing Vent (OP).csv,gef study,yes
Compressors,Comp_wet_seal_large_emitter,gef_comp,SpecificLeaksProduction,1,GEFCombined/EmissionsData/GEFC_EF_Compressor Rod Packing Vent Large Emitter.csv,gef study,yes
Compressors,Comp_emp_wet_seal_vent,gef_comp,EmpiricalFlowProduction,N/A,TS/EmissionsData/TS_EF_Centrifugal WetSealVent (OP).csv,ts study,no
Compressors,Comp_single_unit_vent_large_emitter,gef_comp,SpecificLeaksProduction,1,GEFCombined/EmissionsData/GEFC_EF_Compressor Single-Unit Vent Large Emitter.csv,gef study,yes
Compressors,Comp_single_unit_vent_leak,gef_comp,SpecificLeaksProduction,1,GEFCombined/EmissionsData/GEFC_EF_Compressor Common Single-Unit Vent.csv,gef study,yes
Compressors,Comp_starter_vent_leak,gef_comp,SpecificLeaksProduction,1,GEFCombined/EmissionsData/GEFC_EF_Compressor Starter Vent.csv,gef study,yes
,,,,,,,
Separators,Sep_component_leak,wellpad_sep,LeakProduction,N/A,GEFCombined/EmissionsData/GEFC_EF_Separator Component.csv,gathering study,no
Separators,Sep_pneumatic,wellpad_sep,PneumaticEmitterProduction,GEFCombined/ActivityData/GEFC_AF_Separator Pneumatic Controller.csv,GEFCombined/EmissionsData/GEFC_EF_Pneumatic Any.csv,gathering study,no
,,,,,,,
Separators,Dump_Sep_component_leak,wellpad_sep,LeakProduction,N/A,GEFCombined/EmissionsData/GEFC_EF_Separator Component.csv,gathering study,no
Separators,Dump_Sep_pneumatic,wellpad_sep,PneumaticEmitterProduction,GEFCombined/ActivityData/GEFC_AF_Separator Pneumatic Controller.csv,GEFCombined/EmissionsData/GEFC_EF_Pneumatic Any.csv,gathering study,no
,,,,,,,
Compressors,Blowdown_event,wellpad_compressor_0to200HP,EmpiricalFlowImmediateProduction,N/A,N/A,,yes
Compressors,Comp_blowdown,wellpad_compressor_0to200HP,SpecificLeaksProduction,1,GEFCombined/EmissionsData/GEFC_EF_Compressor Blowdown Vent.csv,gef study,no
Compressors,Comp_component_leak,wellpad_compressor_0to200HP,LeakProduction,20,GEFCombined/EmissionsData/GEFC_EF_Compressor Component.csv,gef study,no
Compressors,Comp_pneumatic,wellpad_compressor_0to200HP,PneumaticEmitterProduction,GEFCombined/ActivityData/GEFC_AF_Compressor Pneumatic Controller.csv,GEFCombined/EmissionsData/GEFC_EF_Pneumatic Any.csv,gef study,no
Compressors,Dry_seal_large_emitter,wellpad_compressor_0to200HP,SpecificLeaksProduction,1,GEFCombined/EmissionsData/GEFC_EF_Compressor Rod Packing Vent Large Emitter.csv,gef study,no
Compressors,Comp_emp_dry_seal_vent,wellpad_compressor_0to200HP,EmpiricalFlowProduction,N/A,TS/EmissionsData/TS_EF_Centrifugal DrySealVent (OP).csv,ts study,no
Compressors,Rod_packing_large_emitter,wellpad_compressor_0to200HP,SpecificLeaksProduction,1,GEFCombined/EmissionsData/GEFC_EF_Compressor Rod Packing Vent Large Emitter.csv,gef study,no
Compressors,Rod_packing_vent_nod,wellpad_compressor_0to200HP,SpecificLeaksProduction,1,GEFCombined/EmissionsData/GEFC_EF_Compressor Rod Packing Vent (NOD).csv,gef study,no
Compressors,Rod_packing_vent_nop,wellpad_compressor_0to200HP,SpecificLeaksProduction,1,GEFCombined/EmissionsData/GEFC_EF_Compressor Rod Packing Vent (NOP).csv,gef study,no
Compressors,Rod_packing_vent_op,wellpad_compressor_0to200HP,SpecificLeaksProduction,1,GEFCombined/EmissionsData/GEFC_EF_Compressor Rod Packing Vent (OP).csv,gef study,no
Compressors,Comp_wet_seal_large_emitter,wellpad_compressor_0to200HP,SpecificLeaksProduction,1,GEFCombined/EmissionsData/GEFC_EF_Compressor Rod Packing Vent Large Emitter.csv,gef study,no
Compressors,Comp_emp_wet_seal_vent,wellpad_compressor_0to200HP,EmpiricalFlowProduction,N/A,TS/EmissionsData/TS_EF_Centrifugal WetSealVent (OP).csv,ts study,no
Compressors,Comp_single_unit_vent_large_emitter,wellpad_compressor_0to200HP,SpecificLeaksProduction,1,GEFCombined/EmissionsData/GEFC_EF_Compressor Single-Unit Vent Large Emitter.csv,gef study,no
Compressors,Comp_single_unit_vent_leak,wellpad_compressor_0to200HP,SpecificLeaksProduction,1,GEFCombined/EmissionsData/GEFC_EF_Compressor Common Single-Unit Vent.csv,gef study,no
