probs,data
0.8248927038626609,988.98
0.10901287553648069,2948.94
0.014592274678111588,4908.9
0.019742489270386267,6868.860000000001
0.008583690987124463,8828.82
0.0068669527896995704,10788.779999999999
0.0,12748.740000000002
0.0008583690987124463,14708.7
0.0008583690987124463,16668.66
0.002575107296137339,18628.62
0.0017167381974248926,20588.58
0.0,22548.54
0.0017167381974248926,24508.5
0.0,26468.46
0.0,28428.420000000002
0.0,30388.38
0.0008583690987124463,32348.34
0.0,34308.3
0.0,36268.259999999995
0.0,38228.22
0.0008583690987124463,40188.18
0.0,42148.14
0.0,44108.100000000006
0.0,46068.06
0.0,48028.020000000004
0.0008583690987124463,49987.979999999996
0.0,51947.94
0.0,53907.9
0.0,55867.86
0.0,57827.82000000001
0.0008583690987124463,59787.78
0.0,61747.740000000005
0.0008583690987124463,63707.7
0.0,65667.66
0.0,67627.62
0.0,69587.58
0.0008583690987124463,71547.54000000001
0.0,73507.5
0.0,75467.45999999999
0.0017167381974248926,77427.42
0.0,79387.38
0.0,81347.34
0.0,83307.3
0.0008583690987124463,85267.26000000001
0.0,87227.22
0.0,89187.18
0.0,91147.14
0.0,93107.1
0.0,95067.06
0.0008583690987124463,97027.02
